Name,Avg,Hits,HR,RBI,Walks,OPS
Alejandro Kirk,0.3,106,12,47,43,0.829
Vladimir Guerrero Jr.,0.281,130,26,75,45,0.854
Santiago Espinal,0.27,105,7,44,30,0.705
Bo Bichette,0.258,125,17,64,28,0.718
Matt Chapman,0.233,93,24,61,40,0.773
Lourdes Gurriel Jr.,0.299,120,5,49,28,0.757
George Springer,0.269,95,18,51,37,0.824
Teoscar Hernandez,0.264,96,18,58,25,0.8
Zack Collins (40-man),0.194,14,4,10,6,0.682
Raimel Tapia,0.271,82,5,38,10,0.676
Cavan Biggio,0.22,39,3,16,28,0.708
Danny Jansen,0.197,24,9,25,11,0.692
Bradley Zimmer,0.105,8,2,3,5,0.446
Gabriel Moreno (40-man),0.276,16,0,4,2,0.593
Whit Merrifield,0.25,10,1,2,5,0.658
Tyler Heineman#,0.267,4,0,1,0,0.667
Jackie Bradley Jr.,0.167,2,0,3,1,0.481
Gosuke Katoh,0.143,1,0,0,3,0.686
Vinny Capra (40-man),0.2,1,0,0,2,0.629
